iter	Passed	Remaining
0	0	37
1	0	29
2	0	26
3	1	24
4	1	23
5	1	22
6	1	21
7	1	21
8	2	20
9	2	19
10	2	19
11	2	18
12	2	18
13	2	18
14	3	17
15	3	17
16	3	16
17	3	16
18	3	16
19	3	15
20	4	15
21	4	15
22	4	14
23	4	14
24	4	14
25	4	13
26	5	13
27	5	13
28	5	13
29	5	12
30	5	12
31	5	12
32	6	12
33	6	12
34	6	11
35	6	11
36	6	11
37	6	11
38	6	10
39	7	10
40	7	10
41	7	10
42	7	10
43	7	9
44	7	9
45	8	9
46	8	9
47	8	9
48	8	8
49	8	8
50	8	8
51	9	8
52	9	8
53	9	7
54	9	7
55	9	7
56	9	7
57	9	7
58	10	7
59	10	6
60	10	6
61	10	6
62	10	6
63	10	6
64	11	5
65	11	5
66	11	5
67	11	5
68	11	5
69	11	5
70	12	4
71	12	4
72	12	4
73	12	4
74	12	4
75	12	4
76	13	3
77	13	3
78	13	3
79	13	3
80	13	3
81	13	3
82	13	2
83	14	2
84	14	2
85	14	2
86	14	2
87	14	2
88	14	1
89	15	1
90	15	1
91	15	1
92	15	1
93	15	1
94	15	0
95	16	0
96	16	0
97	16	0
98	16	0
99	16	0
